country,max_season,max_value,min_season,min_value,seasonality_index
EU27_2020,Winter,66826.63058201058,Summer,54514.94,12311.690582010575
DE,Winter,12463.391944444445,Summer,10640.350925925924,1823.041018518521
IT,Winter,9464.95270117723,Summer,7713.580341880342,1751.3723592968881
FR,Winter,8551.348202614381,Summer,6963.709722222222,1587.6384803921592
ES,Winter,5787.619455423803,Summer,4645.279292929293,1142.34016249451
PL,Winter,5479.35593800322,Summer,4605.825603864734,873.5303341384861
RO,Winter,3892.119934640523,Summer,3119.754166666666,772.3657679738567
PT,Winter,1642.0137022397892,Summer,1229.0747474747475,412.9389547650417
NL,Winter,2222.9763071895427,Summer,1815.513888888889,407.4624183006538
BG,Winter,1620.8703703703704,Summer,1288.6180555555557,332.2523148148148
HU,Winter,1858.6358333333335,Summer,1553.3907407407407,305.24509259259275
BE,Winter,1531.9671296296294,Summer,1254.4816425120773,277.4854871175521
EL,Winter,1803.290196078431,Autumn,1526.701087891297,276.5891081871341
RS,Winter,1486.2057312252964,Summer,1218.2808080808081,267.9249231444883
CZ,Winter,1568.4650455252056,Summer,1311.2461988304094,257.2188466947962
SE,Winter,1270.7588376068377,Summer,1061.6613333333332,209.09750427350446
AT,Winter,1122.5990740740742,Summer,943.3888888888888,179.21018518518542
CH,Winter,897.7905020080321,Summer,748.1566666666666,149.6338353413655
GE,Winter,698.1587301587301,Summer,557.0079365079365,141.15079365079362
HR,Winter,744.1160185185186,Summer,622.9171296296296,121.19888888888897
SK,Winter,759.8361111111111,Summer,644.5250000000001,115.31111111111102
DK,Winter,749.1634567901234,Summer,643.6355555555556,105.52790123456782
IE,Winter,463.11364522417153,Summer,362.5,100.61364522417153
LT,Winter,582.8580475080475,Summer,489.81969696969696,93.03835053835058
NO,Winter,584.3264163372859,Summer,495.3207070707071,89.00570926657878
FI,Winter,714.2293247033441,Summer,628.0271111111111,86.20221359223297
AM,Winter,409.3529100529101,Summer,332.852380952381,76.50052910052909
LV,Winter,426.58676878676874,Summer,354.9681818181818,71.61858696858695
AL,Winter,340.8185185185185,Summer,269.30925925925925,71.50925925925924
SI,Winter,279.5855835240274,Summer,229.4526570048309,50.1329265191965
EE,Winter,232.03296296296298,Summer,195.5203703703704,36.5125925925926
CY,Winter,95.92826510721248,Summer,73.44444444444446,22.483820662768025
MT,Winter,56.656853434631216,Summer,41.636752136752136,15.02010129787908
ME,Winter,89.36503169836503,Summer,76.95185185185186,12.413179846513174
LU,Winter,55.5762962962963,Summer,47.07175925925926,8.50453703703704
IS,Winter,27.235428380187415,Summer,24.24388888888889,2.991539491298525
AD,Winter,4.096287262872629,Summer,3.327777777777778,0.7685094850948508
LI,Winter,3.323154740864179,Summer,2.8546245059288538,0.4685302349353253
UK,,,,,
